ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO
559020,1,11.10.2021,10.09.2021,20000,0,,,,,,15.04.2025,11.10.2021,1,2,2021
536256,1,10.05.2021,11.03.2021,220000,0,,,,,,15.04.2025,10.05.2021,1,2,2021
535562,1,10.05.2021,09.03.2021,265000,0,,,,,,15.04.2025,10.05.2021,1,2,2021
537989,3,11.05.2021,03.10.2019,85000,0,,,,,,15.04.2025,11.05.2021,1,3,2021
582560,1,10.11.2021,20.09.2021,403120,0,,,,,,15.04.2025,10.11.2021,1,2,2021
532088,1,10.04.2021,05.02.2021,89500,0,,,,,,15.04.2025,10.04.2021,1,2,2021
523926,1,14.01.2021,27.07.2020,102,0,,,,,,15.04.2025,14.01.2021,1,1,2021
540054,1,10.06.2021,15.04.2021,47000,0,,,,,,15.04.2025,10.06.2021,1,2,2021
535993,1,10.05.2021,23.03.2021,110000,0,,,,,,15.04.2025,10.05.2021,1,2,2021
551092,1,11.08.2021,27.05.2021,30000,0,,,,,,15.04.2025,11.08.2021,1,2,2021
557406,1,10.10.2021,11.01.2021,13000,0,,,,,,15.04.2025,10.10.2021,1,2,2021
536121,1,10.05.2021,16.03.2021,25000,0,,,,,,15.04.2025,10.05.2021,1,2,2021
548422,2,10.08.2021,27.05.2021,75500,0,,,,,,15.04.2025,10.08.2021,1,2,2021
629000,1,10.12.2021,26.10.2021,89000,0,,,,,,15.04.2025,10.12.2021,1,4,2021
558165,1,10.10.2021,01.09.2021,2551.5,0,,,,,,15.04.2025,10.10.2021,1,1,2021
541773,1,11.06.2021,05.05.2021,2228,0,,,,,,15.04.2025,11.06.2021,1,2,2021
